Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Milium effusum,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Hol,S
Inkl. subsp. alpicola,Die Unterscheidung einer Hochlagensippe (subsp. alpicola) ist taxonomisch fragwürdig.,,,,,,,,,,,,,,,,,,,,,
Flattergras,,,,,,,,,,,,,,,,,,,,,,
Mimulus guttatus,n,,,,,,,,,e,e,le?,e,e,e,e,u,u,u,,,S
Gelbe Gauklerblume,,,,,,,,,,,,,,,,,,,,,,
Mimulus moschatus,n,,,,,,,,,,,,,u,u,le,u,u,u,,,S
Moschus-Gauklerblume,,,,,,,,,,,,,,,,,,,,,,
Minuartia austriaca → Sabulina,,,,,,,,,,,,,,,,,,,,,,
Minuartia biflora → Cherleria,,,,,,,,,,,,,,,,,,,,,,
Minuartia cherlerioides → Facchinia,,,,,,,,,,,,,,,,,,,,,,
Minuartia gerardii → Sabulina,,,,,,,,,,,,,,,,,,,,,,
Minuartia glaucina → Sabulina,,,,,,,,,,,,,,,,,,,,,,
Minuartia hybrida → Sabulina tenuifolia,,,,,,,,,,,,,,,,,,,,,,
Minuartia langii → Cherleria,,,,,,,,,,,,,,,,,,,,,,
Minuartia laricifolia → Cherleria,,,,,,,,,,,,,,,,,,,,,,
Minuartia recurva,LC,3,0,0,●,,,,,●,●,●,,●,?,,,,,,Eur,S
Krummblättrige Miere,,,,,,,,,,,,,,,,,,,,,,
Minuartia rubra,VU,2,-1,-1,EN,●,RE,,●,,,,u,,,†,●,●,●,,Eur,H
Büschel-Miere,Auch subruderal. Im Alpengebiet und der Böhmischen Masse nur nahe dem Ostrand.,,,,,,,,,,,,,,,,,,,,,
Minuartia rupestris → Facchinia,,,,,,,,,,,,,,,,,,,,,,
Minuartia sedoides → Cherleria,,,,,,,,,,,,,,,,,,,,,,
Minuartia setacea,VU,2,-1,-1,●,●,,,●,,–,–,,–,●,†,●,,●,,Eur,S
Inkl. subsp. bannatica,Die beiden Unterarten sind unzureichend erforscht.,,,,,,,,,,,,,,,,,,,,,
Borsten-Miere,,,,,,,,,,,,,,,,,,,,,,
Minuartia viscosa → Sabulina,,,,,,,,,,,,,,,,,,,,,,
Misopates orontium,EN,2,-2,-1,CR,●,CR,●,●,u,u,,?,●,†,●*,●,●,●,,Eur (Kosm),H
Katzenmaul,Außerhalb Kärntens und der pannonischen Randlagen im Alpengebiet synanthrop.,,,,,,,,,,,,,,,,,,,,,
Moehringia bavarica,NT,2,0,-1,●,,,,,,,,,,●,,,,,D,Eur,S
"Steirische Nabelmiere, Fleischige N.",Im Grazer Bergland und im angrenzenden Teil der Grauwackenzone; von den außerösterreichischen Arealteilen weit getrennt.,,,,,,,,,,,,,,,,,,,,,
Moehringia ciliata,LC,4,0,0,●,,f,,,●,●,●,●,●,●,●,●,,,,Eur,S
Wimper-Nabelmiere,,,,,,,,,,,,,,,,,,,,,,
Moehringia diversifolia,NT,2,0,-1,●,,,,,,,,,●,●,–,,,,E,ZE-Alp!,H
Verschiedenblättrige Nabelmiere,Endemit der südöstlichen Zentralalpen. In Silikatfelsspalten der submontanen bis subalpinen Stufe.,,,,,,,,,,,,,,,,,,,,,
Moehringia muscosa,LC,5,0,0,●,EN,EN,n,,●,●,●,●,●,●,●,●,,,,Eur,S
Moos-Nabelmiere,,,,,,,,,,,,,,,,,,,,,,
Moehringia trinervia,LC,5,0,0,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,H
Dreinervige Nabelmiere,,,,,,,,,,,,,,,,,,,,,,
Moenchia mantica,EN,2,-2,-2,n,,,●,CR,,,,,,●,,,u,●,,Eur,H
Fünfzählige Weißmiere,,,,,,,,,,,,,,,,,,,,,,
Molinia arundinacea,LC,4,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Eur,S
(M. caerulea agg.),Die morphologische Abgrenzung gegenüber Molinia caerulea s.str. ist an frühen Entwicklungszuständen schwierig.,,,,,,,,,,,,,,,,,,,,,
"Rohr-Pfeifengras, Großes P.",,,,,,,,,,,,,,,,,,,,,,
Molinia caerulea s.str.,LC,5,-2,-1,●,NT,NT,EN,VU,●,●,●,●,●,●,●,●,●,●,,Kosm,S
(M. caerulea agg.),,,,,,,,,,,,,,,,,,,,,,
"Blaues Pfeifengras i. e. S., Kleines P.",,,,,,,,,,,,,,,,,,,,,,
Moneses uniflora,LC,4,0,0,●,CR,CR,CR,RE,●,●,●,●,●,●,●,●,,●,,Hol,S
Moosauge,,,,,,,,,,,,,,,,,,,,,,
Monotropa → Hypopitys,,,,,,,,,,,,,,,,,,,,,,
Montia fontana,NT,3,-1,-1,●,EN,RE,,,●,●,●,●,●,●,●,●,,,,Kosm,H
Brunnen-Quellkraut,Mangels Belegen kann nicht geklärt werden welcher Unterart das ehemalige Vorkommen im Nördlichen Vorland angehört (Hohla & al. 2009).,,,,,,,,,,,,,,,,,,,,,
Montia fontana subsp. amporitana,EN,2,-2,-2,?,●,?,,,,,,,,?,●,●,,,,Kosm,H
Inkl. subsp. variabilis,Inkl. subsp. variabilis (vgl. Kaplan & al. 2020).,,,,,,,,,,,,,,,,,,,,,
Spitzwarziges Brunnen-Quellkraut,,,,,,,,,,,,,,,,,,,,,,
Montia fontana subsp. fontana,NT,3,-1,-1,●,,?,,,●,●,●,●,●,●,?,●,,,,Kosm,H
Glanzsamiges Brunnen-Quellkraut,,,,,,,,,,,,,,,,,,,,,,
Mummenhoffia alliacea,n,,,,,,,,,,u,,e,,e,e,u,u,e,,,H
Syn. Thlaspi alliaceum,,,,,,,,,,,,,,,,,,,,,,
Lauch-Hellerkraut,,,,,,,,,,,,,,,,,,,,,,
Morus alba,n,,,,,,,,,,,,u,u,u,u,le?,u,le?,,,B
Weiße Maulbeere,,,,,,,,,,,,,,,,,,,,,,
Muscari armeniacum,n,,,,,,,,,,u,u,le,u,u,le,le,le,,,,S
Armenische Traubenhyazinthe,,,,,,,,,,,,,,,,,,,,,,
Muscari azureum,n,,,,,,,,,,,,,,,,le,le,,,,S
Himmelblaue Traubenhyazinthe,,,,,,,,,,,,,,,,,,,,,,
Muscari botryoides,EN,2,-2,-1,●*,●*,●*,●*,n,●*,u,u,u,●*,●*,●*,u,u,●*,,Eur (Hol),S
Kleine Traubenhyazinthe,"Früher zum Teil segetal, auch kultiviert und verwildernd.",,,,,,,,,,,,,,,,,,,,,
Muscari comosum,NT,4,-2,-1,VU,VU,EN,VU,●,,,,,●,●,●,●,●,●,,Euras,S
Schopfige Traubenhyazinthe,Im Alpengebiet abseits des Alpenostrandes stark gefährdet. Einmalige Mahd oder späte Erstmahd begünstigen die Art. Ehemals auch segetal.,,,,,,,,,,,,,,,,,,,,,
Muscari neglectum,NT,3,-1,-1,VU,VU,EN,"RE*, n",●,●*,e,,u,u,●*,●*,●,●,●,,Eur,S
Weinberg-Traubenhyazinthe,Ehemals auch segetal.,,,,,,,,,,,,,,,,,,,,,
Muscari tenuiflorum,EN,2,-2,-1,,,,,●,,,,,,,,●,●,●,,Euras,S
Schmalblütige Traubenhyazinthe,,,,,,,,,,,,,,,,,,,,,,
Mutellina adonidifolia,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
Syn. Ligusticum mutellina,,,,,,,,,,,,,,,,,,,,,,
Alpen-Mutterwurz,,,,,,,,,,,,,,,,,,,,,,
Myagrum perfoliatum,EN,2,-2,-1,CR,,n,n,●,,u,,u,–,●,u,●,●,●,,Euras (Kosm),H
Hohldotter,Abseits des Pannonikums und des Wienerwaldes nur neophytisch.,,,,,,,,,,,,,,,,,,,,,
Myosotis alpestris,LC,4,0,0,●,,f,,,●,●,●,●,●,●,●,●,,,,Hol,S
(M. sylvatica agg.),,,,,,,,,,,,,,,,,,,,,,
Alpen-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis arvensis,LC,5,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
Acker-Vergissmeinnicht,Häufig auch ruderal.,,,,,,,,,,,,,,,,,,,,,
Myosotis decumbens subsp. decumbens,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Eur,S
(M. sylvatica agg.),,,,,,,,,,,,,,,,,,,,,,
Eigentliches Kälte-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis decumbens subsp. kerneri,LC,2,0,0,●,,,,,,●,●,●,●,●,●,,,,E,E-Alp!,S
(M. sylvatica agg.),,,,,,,,,,,,,,,,,,,,,,
Kerners Kälte-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis decumbens subsp. variabilis,LC,2,0,0,●,,,,,,,,●,●,●,?,●,,,,Eur,S
(M. sylvatica agg.),,,,,,,,,,,,,,,,,,,,,,
Steirisches Kälte-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis discolor,EN,2,-2,-1,CR,●,"RE, n",CR,●,,,,u,,●,●,●,●,●,,Eur,H
Buntes Vergissmeinnicht,"Auch ruderal, aber kaum noch segetal.",,,,,,,,,,,,,,,,,,,,,
Myosotis laxa subsp. cespitosa,VU,2,-1,-1,EN,●,CR,EN,●,●,●,,●,●,●,●,●,,●,,Hol,S
(M. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Schlaffes Sumpf-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis nemorosa,LC,4,-1,-1,●,●,●,●,?,●,●,●,●,●,●,●,●,●,●,,Euras,S
(M. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Hain-Sumpf-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis ramosissima,LC,4,-1,-1,VU,VU,EN,EN,●,?,?,,●,●,●,●,●,●,●,,Euras,H
Hügel-Vergissmeinnicht,Auch ruderal. Im Alpengebiet abseits des Ostrandes stark gefährdet.,,,,,,,,,,,,,,,,,,,,,
Myosotis rehsteineri,EN,1,-1,-1,●,,,,,●,,,,,,–,,,,V,Eur*,S
(M. palustris agg.),"Art der FFH-Richtlinie, Anhang II und IV. Populationsgrößen schwanken mit den Wasserständen des Bodensees, überdurchschnittliche Wasserstände im Winter wirken hemmend.",,,,,,,,,,,,,,,,,,,,,
Bodensee-Sumpf-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis scorpioides,LC,4,-1,-1,●,●,●,●,VU,●,●,●,●,●,●,●,●,●,●,,Euras (Kosm),S
(M. palustris agg.),,,,,,,,,,,,,,,,,,,,,,
Eigentliches Sumpf-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis sparsiflora,NT,3,-1,0,●,VU,CR,●,VU,,,,e,●,●,u,●,●,●,,Euras,H
Lockerblütiges Vergissmeinnicht,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Myosotis stenophylla,VU,1,0,-1,●,●,,EN,,,,,,,●,,●,,●,,Eur,S
(M. sylvatica agg.),"Serpentinit-Sippe, die Abgrenzung zu M. alpestris ist unzureichend erforscht.",,,,,,,,,,,,,,,,,,,,,
Schmalblättriges Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosotis stricta,NT,3,-1,-1,EN,●,CR,●,VU,u,●,●,●,●,●,●,●,●,●,,Euras (Kosm),H
"Sand-Vergissmeinnicht, Steifes V.",Auch ruderal.,,,,,,,,,,,,,,,,,,,,,
Myosotis sylvatica s.str.,LC,5,0,0,●,●,●,●,NT,●,●,●,●,●,●,●,●,●,●,,Eur (Kosm),S
(M. sylvatica agg.),,,,,,,,,,,,,,,,,,,,,,
Wald-Vergissmeinnicht,,,,,,,,,,,,,,,,,,,,,,
Myosurus minimus,EN,2,-2,-1,RE,●,CR,●,●,,,,,,†?,●,●,†,●,,Hol,H
Mäuseschwanz,,,,,,,,,,,,,,,,,,,,,,
Myricaria germanica,CR,2,-3,-2,●,RE,RE,RE,RE,"†,u",●,●,†,●,●,†,†,†,,,Euras,B
Ufertamariske,"Aufgrund von Flussregulierungen nur noch wenige Restvorkommen, v.a. an Lech und Isel. Wiederansiedlungsversuche zumindest teilweise ohne Erfolg.",,,,,,,,,,,,,,,,,,,,,
Myriophyllum alterniflorum,EN,1,-1,-1,●,●,,,,,,,,●,●,●,,,,,Hol,S
Wechselblütiges Tausendblatt,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum aquaticum,n,,,,,,,,,,,,,le,,u,,,,,,S
Brasilianisches Tausendblatt,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum heterophyllum,n,,,,,,,,,,,,,u,le,,u,,,,,S
Verschiedenblättriges Tausendblatt,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum spicatum,LC,3,0,0,●,●,●,●,●,●,●,e,●,●,●,●,●,●,●,,Kosm,S
Ähren-Tausendblatt,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum verticillatum,VU,3,-2,-1,●,CR,●,EN,●,●,●,–,●,●,●,●,●,●,●,,Hol,S
Quirl-Tausendblatt,,,,,,,,,,,,,,,,,,,,,,
Myrrhis odorata,LC,2,0,0,●,,,,,le,●*,,e,●,●*,,,,,,Eur,S
Süßdolde,Außerhalb der Südalpen ehemals angepflanzt und teilweise bis heute eingebürgert.,,,,,,,,,,,,,,,,,,,,,
Najas flexilis,CR,1,?,-1,●,,,,,,,,,●,,,,,,D,Hol,H
Biegsames Nixenkraut,"Art der FFH-Richtlinie, Anhang II und IV. Nur im Millstätter See (Pall 2011).",,,,,,,,,,,,,,,,,,,,,
Najas marina agg.,LC,3,+1,+1,●,,●,n,●,e,le,,e,●,e,e,●,e,e,,,H
AGr. Meer-Nixenkraut,"Die beiden Sippen sind molekulargenetisch klar getrennt, die meisten früher verwendeten morphologischen Merkmale erlauben aber keine sichere Zuordnung (Rüegg & al. 2017, 2018). Die Aufteilung der österreichischen Vorkommen ist daher erst unvollständig bekannt. Zur Nomenklatur vgl. Bräuchler (2015).",,,,,,,,,,,,,,,,,,,,,
Najas major,LC,3,+1,+1,●,,●,,●,?,,,e,?,,?,,,e,,Eur,H
Syn. N. marina subsp. marina auct.,,,,,,,,,,,,,,,,,,,,,,
Großes Nixenkraut,,,,,,,,,,,,,,,,,,,,,,
Najas marina s.str.,LC,2,0,0,●,,●,n,●,?,le,,e,●,e,e,●,e,e,,Kosm,H
Syn. N. marina subsp. intermedia; subsp. marina s. orig.,,,,,,,,,,,,,,,,,,,,,,
Mittleres Nixenkraut,,,,,,,,,,,,,,,,,,,,,,
Najas minor,EN,1,-1,-1,●,,●,●,●,●,†,,●,●,●,†,●,●,–,,Euras (Hol),H
Kleines Nixenkraut,,,,,,,,,,,,,,,,,,,,,,
Narcissus pseudonarcissus,n,,,,,,,,,u,u,u,le,u,le,le,le,u,u,,,S
Gelbe Narzisse,,,,,,,,,,,,,,,,,,,,,,
Narcissus radiiflorus,VU,3,-2,-1,●,n,CR,EN,,,,,u,●,●,●,●,,,,Eur,S
Stern-Narzisse,,,,,,,,,,,,,,,,,,,,,,
Nardus stricta,LC,5,-2,-1,●,VU,EN,EN,CR,●,●,●,●,●,●,●,●,●,●,,Eur,S
"Bürstling, Borstgras",Auch im Alpengebiet in den Tieflagen starke Rückgänge. Im Pannonikum nur lokal im Mittelburgenland.,,,,,,,,,,,,,,,,,,,,,
Nasturtium microphyllum,NT,2,0,-1,●,CR,EN,,,●,●,,●,,,●,?,,,,Eur (Kosm),S
(N. officinale agg.),,,,,,,,,,,,,,,,,,,,,,
Kleinblättrige Brunnenkresse,,,,,,,,,,,,,,,,,,,,,,
Nasturtium officinale s.str.,NT,3,-1,-1,●,CR,VU,EN,●,●,●,–,●,●,●,●,●,●,●,,Kosm,S
(N. officinale agg.),,,,,,,,,,,,,,,,,,,,,,
Echte Brunnenkresse,,,,,,,,,,,,,,,,,,,,,,
Nasturtium x sterile,VU,2,-1,0,●,,●,,EN*,●,,,●*,,,●,●*,,,,Eur,S
(N. officinale agg.),Zumindest teilweise eine verwilderte Kulturpflanze.,,,,,,,,,,,,,,,,,,,,,
Unfruchtbare Brunnenkresse,,,,,,,,,,,,,,,,,,,,,,
Neotinea tridentata,EN,2,-2,-2,●,●,●,●,●,,,,†,●,●,●,●,●,●,,Eur,S
Syn. Orchis tridentata,,,,,,,,,,,,,,,,,,,,,,
"Dreizähniger Keuschständel, Bunter K.",,,,,,,,,,,,,,,,,,,,,,
Neotinea ustulata subsp. aestivalis,EN,2,?,-1,●,,,●,●,,●,●,●,●,●,●,●,●,●,,Eur,S
Syn. Orchis ustulata subsp. aestivalis,,,,,,,,,,,,,,,,,,,,,,
Später Brand-Keuschständel,,,,,,,,,,,,,,,,,,,,,,
Neotinea ustulata subsp. ustulata,VU,3,-2,-2,●,EN,CR,EN,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Syn. Orchis ustulata subsp. ustulata,,,,,,,,,,,,,,,,,,,,,,
Früher Brand-Keuschständel,,,,,,,,,,,,,,,,,,,,,,
Neottia cordata,LC,3,0,0,●,CR,CR,,,●,●,●,●,●,●,●,●,,,,Hol,S
Syn. Listera cordata,,,,,,,,,,,,,,,,,,,,,,
Herz-Zweiblatt,,,,,,,,,,,,,,,,,,,,,,
Neottia nidus-avis,LC,5,-1,0,●,NT,NT,●,●,●,●,●,●,●,●,●,●,●,●,,Euras,S
Vogel-Nestwurz,,,,,,,,,,,,,,,,,,,,,,
Neottia ovata,LC,5,-1,-1,●,VU,NT,NT,NT,●,●,●,●,●,●,●,●,●,●,,Euras,S
Syn. Listera ovata,,,,,,,,,,,,,,,,,,,,,,
Großes Zweiblatt,,,,,,,,,,,,,,,,,,,,,,
Nepeta cataria,NT,3,-1,-1,VU,EN,EN,EN,●,u,●,●,u,●,●,●*,●,●,●,,Euras (Kosm),S
Echte Katzenminze,Auch synanthrop.,,,,,,,,,,,,,,,,,,,,,
Nepeta nuda,EN,2,-2,-1,RE?*,RE*,?,CR,●,,,†,,●,●,–,●,u,●,,Euras,S
Pannonische Katzenminze,Auch subruderal.,,,,,,,,,,,,,,,,,,,,,
Nepeta racemosa,n,,,,,,,,,,u,u,u,u,u,u,u,u,le,,,S
Trauben-Katzenminze,,,,,,,,,,,,,,,,,,,,,,
Neslia paniculata,EN,3,-3,-2,●,●,CR,●,●,†,●,"†,u",●,●,●,●,●,●,●,,Euras (Kosm),H
Finkensame,In den letzen Jahrzehnten besonders starker Rückgang. Im westlichen Alpengebiet vom Aussterben bedroht.,,,,,,,,,,,,,,,,,,,,,
Nigella arvensis,EN,2,-2,-2,RE?,RE?,RE,RE,●,–,u,–,,,,†,●,●,●,,Eur (Euras),H
Acker-Schwarzkümmel,,,,,,,,,,,,,,,,,,,,,,
Nigritella archiducis-joannis,VU,1,0,-1,●,,,,,,,,●,●,●,●,,,,S,E-Alp,S
Syn. Gymnadenia archiducis-joannis,,,,,,,,,,,,,,,,,,,,,,
(N. miniata (sub-)agg.),,,,,,,,,,,,,,,,,,,,,,
Erzherzog-Johann-Kohlröschen,,,,,,,,,,,,,,,,,,,,,,
Nigritella lithopolitanica,VU,1,0,-1,●,,,,,,,,,●,●,,,,,S,E-Alp,S
Syn. Gymnadenia lithopolitanica; inkl. N. karawankarum,,,,,,,,,,,,,,,,,,,,,,
(N. miniata (sub-)agg.),,,,,,,,,,,,,,,,,,,,,,
Steineralpen-Kohlröschen,,,,,,,,,,,,,,,,,,,,,,
Nigritella miniata s.str.,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Eur,S
"Syn. Gymnadenia miniata, N. rubra; inkl. N. bicolor",,,,,,,,,,,,,,,,,,,,,,
(N. miniata (sub-)agg.),,,,,,,,,,,,,,,,,,,,,,
Rotes Kohlröschen i. e. S,,,,,,,,,,,,,,,,,,,,,,
Nigritella minor,VU,1,0,-1,●,,,,,,,,,,●,,,,,E,NE-Alp*!,S
Syn. Gymnadenia minor,Der Artrang ist umstritten. Nur auf dem Trenchtling (Hochschwabgruppe).,,,,,,,,,,,,,,,,,,,,,
(N. miniata (sub-)agg.),,,,,,,,,,,,,,,,,,,,,,
Kleines Rotes Kohlröschen,,,,,,,,,,,,,,,,,,,,,,
Nigritella nigra subsp. austriaca,NT,2,0,-1,●,,,,,,●,†?,●,●,●,●,●,,,S,E-Alp,S
Syn. Gymnadenia austriaca (= G. nigra subsp. austriaca),Im westlichen Alpengebiet gefährdet.,,,,,,,,,,,,,,,,,,,,,
(N. nigra (sub-)agg.),,,,,,,,,,,,,,,,,,,,,,
Österreichisches Schwarzes Kohlröschen,,,,,,,,,,,,,,,,,,,,,,
Nigritella rhellicani,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,,,,,Alp,S
Syn. Gymnadenia rhellicani,,,,,,,,,,,,,,,,,,,,,,
Gewöhnliches Kohlröschen,,,,,,,,,,,,,,,,,,,,,,
Nigritella stiriaca,VU,2,-1,-1,●,,,,,,,,●,,●,●,,,,E,NE-Alp!,S
Syn. Gymnadenia stiriaca,,,,,,,,,,,,,,,,,,,,,,
(N. miniata (sub-)agg.),,,,,,,,,,,,,,,,,,,,,,
Steirisches Kohlröschen,,,,,,,,,,,,,,,,,,,,,,
Nigritella widderi,NT,2,0,-1,●,,,,,,●,,●,,●,●,●,,,S,Eur,S
Syn. Gymnadenia widderi,,,,,,,,,,,,,,,,,,,,,,
(N. miniata (sub-)agg.),,,,,,,,,,,,,,,,,,,,,,
Widder-Kohlröschen,,,,,,,,,,,,,,,,,,,,,,
Noccaea caerulescens agg.,VU,3,-2,-1,●,EN,,CR,,●,●,●,●,●,●,●,●,,●,,Eur,S
Syn. Thlaspi caerulescens agg.; inkl. N. brachypetala und N. salisii,,,,,,,,,,,,,,,,,,,,,,
"AGr. Gebirgs-Täschelkraut, Voralpen-T.",,,,,,,,,,,,,,,,,,,,,,
Noccaea crantzii,LC,3,0,0,●,,,,,,,,,,●,●,●,,,E,NE-Alp!,S
Syn. Thlaspi crantzii,"Umfasst eine diploide und eine tetraploide Sippe, die geografisch getrennt aber morphologisch kaum abgrenzbar sind.",,,,,,,,,,,,,,,,,,,,,
Ostalpen-Täschelkraut,,,,,,,,,,,,,,,,,,,,,,
Noccaea goesingensis,NT,2,0,-1,●,,,●,,,,,,,●,,●,,●,,Eur,S
Syn. Thlaspi goesingense,,,,,,,,,,,,,,,,,,,,,,
Gösing-Täschelkraut,,,,,,,,,,,,,,,,,,,,,,
Noccaea minima,LC,2,0,0,●,,,,,,,,,●,,,,,,,Eur,S
Syn. Thlaspi minimum,,,,,,,,,,,,,,,,,,,,,,
Kerner-Täschelkraut,,,,,,,,,,,,,,,,,,,,,,
Noccaea montana,NT,2,0,-1,●,EN,EN,,,,,,,,,–,●,●,,,Eur,S
Syn. Thlaspi montanum,,,,,,,,,,,,,,,,,,,,,,
Berg-Täschelkraut,,,,,,,,,,,,,,,,,,,,,,
Noccaea praecox,VU,1,0,-1,●,,,,,,,,,●,u,,,,,,Eur,S
Syn. Thlaspi praecox,,,,,,,,,,,,,,,,,,,,,,
Frühes Täschelkraut,,,,,,,,,,,,,,,,,,,,,,
Noccaea rotundifolia subsp. cepaeifolia,CR,1,-2,-2,●,,,,,,,,,●,,,,,,S,SE-Alp*,S
Syn. Thlaspi rotundifolium subsp. cepaeifolium,Herabgeschwemmt aus dem heute stillgelegten Bergbaugebiet von Raibl (Italien). Sehr verarmtes Restvorkommen in schwermetallhaltigen Flussschottern der Gailitz.,,,,,,,,,,,,,,,,,,,,,
Julisches Rundblättriges Täschelkraut,,,,,,,,,,,,,,,,,,,,,,
Noccaea rotundifolia subsp. rotundifolia,LC,3,0,0,●,,,,,●,●,●,●,●,●,●,●,,,,Alp,S
Syn. Thlaspi rotundifolium subsp. rotundifolium,,,,,,,,,,,,,,,,,,,,,,
Eigentliches Rundblättriges Täschelkraut,,,,,,,,,,,,,,,,,,,,,,
Nonea pulla,NT,3,-1,-1,EN,●,EN,EN,●,,,,u,,,●,●,●,●,,Euras,S
Syn. N. erecta,,,,,,,,,,,,,,,,,,,,,,
Dunkles Runzelnüsschen,,,,,,,,,,,,,,,,,,,,,,
Notholaena marantae → Paragymnopteris,,,,,,,,,,,,,,,,,,,,,,
Nuphar advena,n,,,,,,,,,,,,,,,,le,,,,,S
Amerikanische Teichrose,,,,,,,,,,,,,,,,,,,,,,
Nuphar lutea,NT,3,-1,0,●,CR,●,●,●,●,●,–,●,●,●,●,●,●,●,,Euras (Hol),S
Große Teichrose,"Auch angepflanzt, teilweise auch andere Arten.",,,,,,,,,,,,,,,,,,,,,
Nuphar pumila,CR,1,-2,-3,●,RE?,RE,,,,●,,●,●,,†,†?,,,,Hol,S
Kleine Teichrose,"Nur noch wenige Restvorkommen in nährstoffarmen, huminsäurereichen und kalkfreien Gewässern.",,,,,,,,,,,,,,,,,,,,,
Nymphaea alba,VU,2,-1,-1,●,CR,●,●,"RE?, n",●,●,†,e,●,●,●,●,e,●,,Eur (Kosm),S
Große Seerose,"Neue Befunde aus Kärnten (Franz 2020) legen nahe, dass Primärvorkommen seltener sind als bisher angenommen; vielfach Ansalbungen.",,,,,,,,,,,,,,,,,,,,,
Nymphaea candida,LC,2,0,0,●,CR,CR,,,,●,,†,●,●,●,†?,,,,Euras,S
Kleine Seerose,Zur Einstufung für das Alpengebiet vgl. Franz (2020).,,,,,,,,,,,,,,,,,,,,,
Nymphoides peltata,EN,1,-1,-1,●*,●*,●*,●*,●*,u,le,,e,u,●*,e,e,e,u,,Euras (Hol),S
Seekanne,Vielfach nur angesalbt und verwildert.,,,,,,,,,,,,,,,,,,,,,
Odontarrhena muralis,n,,,,,,,,,,,,,u,le,le,le,u,u,,,S
Syn. Alyssum murale,,,,,,,,,,,,,,,,,,,,,,
Mauer-Steinkraut,,,,,,,,,,,,,,,,,,,,,,
Odontites luteus,VU,2,-1,-1,EN,●,RE,RE?,●,u,●,–,,●,●,†,●,●,●,,Eur,H
Gelber Zahntrost,,,,,,,,,,,,,,,,,,,,,,
Odontites vulgaris agg.,,,,,,,,,,,,,,,,,,,,,,
AGr. Roter Zahntrost,"Die taxonomische Gliederung dieses Formenkreises muss noch verfolgt werden, die Unterscheidung nach der Blütezeit ist nicht ausreichend (vgl. Koutecký & al. 2012).",,,,,,,,,,,,,,,,,,,,,
Odontites vernus,VU,2,-1,-1,●,●,EN,EN,CR,u,●,?,●,†,●,●,●,●,?,,Eur,H
Früher Roter Zahntrost,,,,,,,,,,,,,,,,,,,,,,
Odontites vulgaris,LC,4,0,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Euras (Hol),H
Später Roter Zahntrost,Im westlichen Alpengebiet gefährdet.,,,,,,,,,,,,,,,,,,,,,
Oenanthe aquatica,VU,3,-1,-2,CR,●,CR,●,●,,,–,†,●,●,●,●,●,●,,Euras,H
Großer Wasserfenchel,,,,,,,,,,,,,,,,,,,,,,
Oenanthe banatica,CR,1,?,-3,,,,●,,,,,,,,,,,●,,Eur,S
Banater Wasserfenchel,Am einzigen österreichischen Wuchsort im Südburgenland weniger als 150 Individuen in einer nährstoffreichen Wiese und im angrenzenden Schwarzerlenbruchwald (Haberler 2008).,,,,,,,,,,,,,,,,,,,,,
Oenanthe fistulosa,CR,1,-3,-3,,,,RE,●,,,,,,,–,†,u?,●,,Eur,S
Röhriger Wasserfenchel,"Im Marchtal und im Südburgenland verschollen, derzeit nur mehr ein Vorkommen am Westufer des Neusiedler Sees bekannt (Bauer & Schön 2011).",,,,,,,,,,,,,,,,,,,,,
Oenanthe silaifolia,CR,1,-3,-3,,,,RE,●,,,,,–,,–,●,†,†,,Euras,S
