Taxon,RL,A,B,R,AL,BM,NV,SV,PA,V,nT,oT,S,K,St,O,N,W,B_duplicated_0,VA,Areal,LD
Adenophora liliifolia,EN,2,-2,-1,CR,RE,,,●,,,,,,●,–,●,†,?,,Euras,S
Becherglocke,"Art der FFH-Richtlinie, Anhang II und IV. Im Pannonikum noch eine vitale Population in den Pischelsdorfer Wiesen bei Gramatneusiedl, ein weiteres Vorkommen bei Sollenau am Aussterben. Das letzte steirische Vorkommen ist sehr klein.",,,,,,,,,,,,,,,,,,,,,
Adenostyles alliariae,LC,4,0,0,●,CR,EN,,,●,●,●,●,●,●,●,●,,?,,Eur,S
Grauer Alpendost,,,,,,,,,,,,,,,,,,,,,,
Adenostyles alpina,LC,4,0,0,●,,,,,●,●,●,●,●,●,●,●,u,,,Eur,S
"Kalk-Alpendost, Grüner A.",,,,,,,,,,,,,,,,,,,,,,
Adenostyles leucophylla,LC,1,0,0,●,,,,,,●,,,,,,,,,,Eur,S
Weißer Alpendost,,,,,,,,,,,,,,,,,,,,,,
Adiantum capillus-veneris,n,,,,,,,,,,,,,,,le?,le?,u,,,,S
Venushaar,,,,,,,,,,,,,,,,,,,,,,
Adonis aestivalis,VU,3,-2,-1,CR,EN,CR,CR,●,†,●,–,u,u,●,●*,●,●,●,,Euras (Kosm),H
Sommer-Adonisröschen,"Ehemals vor allem segetal, rezent oft ruderal.",,,,,,,,,,,,,,,,,,,,,
Adonis flammea,EN,2,-2,-2,RE,CR,RE,RE,●,,u,–,u,u,†,†,●,●,●,,Euras,H
Scharlach-Adonisröschen,"Ehemals vor allem segetal, rezent manchmal ruderal.",,,,,,,,,,,,,,,,,,,,,
Adonis vernalis,VU,3,-2,-1,●,,,,●,,,,,,,u?,●,●,●,,Euras,S
Frühlings-Adonisröschen,"Die Fundorte sind weitgehend erhalten, die meisten Populationen sind aber überaltert und dünnen aus. Bei Beweidung wieder Zunahme.",,,,,,,,,,,,,,,,,,,,,
Adoxa moschatellina,LC,4,-1,-1,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,,Hol,S
Moschuskraut,,,,,,,,,,,,,,,,,,,,,,
Aegilops cylindrica → Triticum,,,,,,,,,,,,,,,,,,,,,,
Aegonychon purpurocaeruleum,NT,3,-1,-1,●,VU,EN,EN,●,,,,,,●,u,●,●,●,,Euras (Kosm),S
