GUID,Taxon,Synonymie,Aggregatzugehörigkeit,Taxonname deutsch,Nordtirol,Nordtirol,Nordtirol,Nordtirol,Osttirol,Osttirol,Osttirol,Osttirol,Kommentar
,,,,,RL,A,B,R,RL,A,B,R,
A294D879-BFC1-4969-889C-0E868360353F,Agrimonia procera,,,Duft-Odermennig,VU,2,-1,-1,EN,2,-1,-2,"OT: Autochthoner Status in Osttirol nicht restlos gesichert; es sind keine ganz alten Angaben vorhanden, aber Standorte arttypisch und siedlungsfern (Stöhr et al. 2023)."
993EFB9D-7EA6-4C57-A7D1-CE9D6E5B0D8E,Agrostemma githago,,,Kornrade,RE,0,-3,,CR,1,-3,-2,"NT: Die archäophytischen Vorkommen sind ausgestorben, neuerdings wird die Art mit Ansaaten für „Blühflächen“ ausgebracht, mit neuerlichem neophytischen Auftreten ist daher zu rechnen. Der Status einer 2018 entdeckten (S. Wallnöfer, schriftl. Mitt.) segetalen Population ist ungeklärt. – OT: Archäophytische Vorkommen fast ausgestorben, heute lokal unbeständiger Neophyt."
353FF66A-8B65-47CB-9044-C986559C72AC,Agrostis alpina s. str.,,A. alpina agg.,Alpen-Straußgras,LC,5,0,0,LC,5,0,0,
20E40970-C6AE-401F-8C21-4D7B272F12F1,Agrostis canina s. str.,,A. canina agg.,Sumpf-Straußgras,NT,4,-2,-1,EN,2,-2,-2,
7902D94D-14FB-4D96-9BB8-98C968F435C1,Agrostis capillaris,,,Rotes Straußgras,LC,5,-1,-1,LC,5,-1,-1,
F8878D37-E2CB-47D1-9CEB-7F58E7D56020,Agrostis gigantea,,A. stolonifera agg.,Riesen-Straußgras,LC,4,-1,-1,NT,4,-2,-1,
34ED8D02-219A-43D3-B23B-0E6D94EF8FA1,Agrostis rupestris subsp. rupestris,,,Felsen-Straußgras,LC,5,0,0,LC,5,0,0,
D825308F-9301-4A0A-886D-B880D6BF0AC3,Agrostis schleicheri,,A. alpina agg.,Schleicher-Straußgras,LC,3,0,0,/,,,,OT: Eine Protokoll-Angabe von A. Polatschek aus dem Jahr 1973 (Kals am Großglockner) wird hier unter Berücksichtigung des bekannten Artareals als irrig eingestuft.
137D7B3E-B858-455D-9479-FEE2045E80F0,Agrostis schraderiana,syn. A. agrostiflora,,"Schilf-Straußgras, Schrader-St.",LC,5,0,0,LC,5,0,0,
9AADEC29-F25D-4D3F-9B42-4E6771233233,Agrostis stolonifera s. str.,,A. stolonifera agg.,Kriech-Straußgras,LC,5,0,0,LC,5,0,0,
E33D9B83-BF8A-4620-8FC7-3DD1D2B4339E,Ailanthus altissima,,,Götterbaum,i,,,,pi,,,,OT: Diese andernorts invasive Art tritt bislang nur in sehr kleinen Beständen (oft nur Einzelindividuen) im Gebiet auf und ist bislang auf das Lienzer Becken beschränkt. Eine markante Bestandeszunahme bzw. Ausbreitung in den letzten Jahren ist für Osttirol noch nicht zu verzeichnen.
E983FA58-27F2-4DD6-9133-65CA35BDD774,Aira caryophyllea,,,Gewöhnlicher Nelkenhafer,u,,,,u,,,,
